p_value: 1.5051991772923163e-05, z_value: 4.178309456436821
p_value: 9.633143851678034e-08, z_value: 5.209944767896881
p_value: 2.2408791170439704e-09, z_value: 5.867978190490924

p_value: 0.21786533001586827, z_value: 0.808290376865476
p_value: 0.035598444637625834, z_value: 1.8145294174531097
p_value: 0.011623483705080586, z_value: 2.2749825072782692
p_value: 0.005675616462568359, z_value: 2.5353599011143753
p_value: 0.02854431843684538, z_value: 1.905255888325765

p_value: 0.48848512766098784, z_value: 0.05773502691896257
p_value: 0.28534335236509134, z_value: 0.5773502691896257
p_value: 0.33638994299493497, z_value: 0.42796700631967444
p_value: 0.4058831659932154, z_value: 0.24181178247622656
p_value: 0.5759625605672312, z_value: -0.1889509971893321

p_value: 0.009686659665796444, z_value: 2.367136103677465
p_value: 0.00014801528678062007, z_value: 3.6290588349062194
p_value: 2.7554625360969334e-06, z_value: 4.5499650145565385
p_value: 3.9920230480209676e-08, z_value: 5.3711526228810325
p_value: 1.4819415930382958e-09, z_value: 5.936210495031516

p_value: 0.08742665344664635, z_value: 1.3856406460551016
p_value: 0.01817927658639534, z_value: 2.1032045520479223
p_value: 0.049479094167213196, z_value: 1.6555565770787406
p_value: 0.016339540690946713, z_value: 2.1396678934260045
p_value: 0.02820335047018757, z_value: 1.91050452713658

p_value: 0.0005530890920403621, z_value: 3.2908965343808667
p_value: 3.6495557712251294e-06, z_value: 4.495084238690658
p_value: 1.994951720021662e-06, z_value: 4.617538752396487
p_value: 7.594780866777165e-08, z_value: 5.253910546528922
p_value: 9.479047616862755e-08, z_value: 5.2118983391390765

p_value: 0.10724690389175873, z_value: 1.2701705922171767
p_value: 0.17942082738016757, z_value: 0.9278843611976129
p_value: 0.18230539426705078, z_value: 0.912245460839306
p_value: 0.09176493402774061, z_value: 1.3336286185052495
p_value: 0.11317566497183323, z_value: 1.2124355652982142

p_value: 0.01754455804702393, z_value: 2.1361959960016152
p_value: 0.0010992497189742125, z_value: 3.0723282181876517
p_value: 0.00043734898882686425, z_value: 3.333637733437464
p_value: 7.694062489326955e-05, z_value: 3.7883845921275494
p_value: 5.908868229233819e-05, z_value: 3.8525008871380484

p_value: 0.39750608598211906, z_value: 0.28867513459481287
p_value: 0.24485870437968643, z_value: 0.7010681840159741
p_value: 0.43513985733164917, z_value: 0.1689343445998715
p_value: 0.5014616473955099, z_value: 0.0
p_value: 0.706515690352397, z_value: -0.5406097975139224

p_value: 0.004307779059410237, z_value: 2.6558112382722783
p_value: 1.780653353810623e-05, z_value: 4.144550146682671
p_value: 8.673314767627805e-06, z_value: 4.302194642476727
